Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,yearID,teamID
LAD,2096,6077,159,669,630,137,7.4%,17.4%,.136,.283,.252,.310,.387,.307,,88,4.3,-90.5,24.1,12.2,1998,
ARI,2067,6116,159,665,621,73,8.0%,20.3%,.146,.290,.246,.314,.393,.311,,82,-2.0,-140.7,54.3,10.4,1998,
FLA,2202,6228,114,667,621,115,8.4%,18.0%,.124,.291,.248,.317,.373,.306,,85,-1.8,-119.1,24.9,10.0,1998,
OAK,1908,6283,149,804,755,131,10.1%,17.9%,.140,.296,.257,.338,.397,.327,,94,5.7,-45.6,-83.0,8.5,1998,
ANA,1884,6280,147,787,739,93,8.1%,16.4%,.144,.308,.272,.335,.415,.330,,94,-1.1,-46.2,-85.9,8.2,1998,
KCR,2001,6191,134,714,686,135,7.7%,15.9%,.136,.295,.263,.324,.399,.319,,85,5.2,-115.8,-23.4,7.3,1998,
PIT,2162,6113,107,650,613,159,6.4%,17.3%,.121,.294,.254,.311,.374,.304,,78,9.6,-160.3,24.9,5.6,1998,
MIN,1838,6263,115,734,691,112,8.1%,14.6%,.123,.297,.266,.328,.389,.317,,83,-1.2,-137.6,-122.9,-4.5,1998,
CLE,1859,6554,209,1009,960,147,11.3%,16.8%,.177,.323,.289,.373,.467,.367,,112,6.9,114.5,18.6,34.4,1999,
CIN,2274,6378,209,865,820,164,8.9%,17.6%,.179,.304,.272,.341,.451,.344,,96,8.4,-25.3,137.3,30.8,1999,
NYM,2323,6454,181,853,814,150,11.1%,15.4%,.156,.308,.279,.363,.434,.350,,105,2.5,46.0,57.0,29.7,1999,
BAL,1958,6409,203,851,804,107,9.6%,13.9%,.169,.298,.279,.353,.447,.350,,107,0.7,56.7,21.7,28.9,1999,
HOU,2043,6403,168,823,784,166,11.4%,17.8%,.154,.306,.267,.355,.420,.341,,101,-0.7,7.5,71.8,27.4,1999,
ARI,2100,6415,216,908,865,137,9.2%,16.3%,.182,.303,.277,.347,.459,.348,,98,9.9,-7.3,84.6,27.3,1999,
TEX,1807,6389,230,945,897,111,9.6%,14.7%,.186,.313,.293,.361,.479,.363,,109,-2.1,74.6,-20.4,26.3,1999,
NYY,1891,6416,193,900,855,104,11.2%,15.2%,.171,.309,.282,.366,.453,.358,,111,-4.9,90.4,-39.9,25.9,1999,
PHI,2206,6386,161,841,797,125,9.9%,16.9%,.156,.313,.275,.351,.431,.343,,96,9.3,-27.9,73.4,24.2,1999,
BOS,1862,6321,176,836,808,67,9.4%,14.7%,.170,.303,.278,.350,.448,.349,,102,-4.1,8.2,23.0,24.2,1999,
ATL,2204,6351,197,840,791,148,9.6%,15.1%,.170,.288,.266,.341,.436,.338,,95,-0.2,-44.1,85.4,23.8,1999,
TOR,1862,6370,212,883,856,119,9.1%,16.9%,.177,.311,.280,.352,.457,.353,,104,2.2,37.0,-10.1,23.7,1999,
SFG,2107,6449,188,872,828,109,10.8%,15.9%,.163,.301,.271,.356,.434,.347,,104,-3.4,30.2,-1.1,22.4,1999,
LAD,2104,6338,187,793,761,167,9.4%,16.3%,.154,.294,.266,.339,.420,.334,,97,2.7,-21.9,48.2,22.1,1999,
OAK,1928,6442,235,893,845,70,12.0%,17.5%,.187,.285,.259,.355,.446,.351,,106,-2.6,52.4,-67.3,19.7,1999,
KCR,1865,6325,151,856,800,127,8.5%,14.7%,.151,.312,.282,.348,.433,.342,,94,7.9,-40.4,16.7,19.0,1999,
SEA,1915,6310,244,859,825,130,9.7%,17.4%,.186,.293,.269,.343,.455,.346,,105,5.8,47.4,-71.7,18.3,1999,
MIL,2281,6433,165,815,777,81,10.2%,16.6%,.153,.309,.273,.353,.426,.342,,97,1.4,-28.8,11.0,18.0,1999,
SDP,2305,6136,153,710,671,174,10.3%,19.1%,.141,.294,.252,.332,.393,.322,,90,4.5,-77.1,61.1,17.6,1999,
STL,2275,6354,194,809,763,134,9.6%,18.9%,.163,.300,.262,.338,.426,.334,,92,5.2,-64.6,38.5,17.2,1999,
DET,1902,6096,212,747,704,108,7.5%,17.2%,.181,.287,.261,.326,.443,.334,,92,-10.1,-73.6,19.8,15.5,1999,
PIT,2250,6234,171,775,735,112,9.2%,19.2%,.160,.301,.259,.334,.419,.330,,88,2.6,-102.9,45.7,14.0,1999,
CHW,1904,6264,162,777,742,110,8.0%,12.9%,.152,.297,.277,.337,.429,.335,,94,-0.5,-53.4,-37.7,12.2,1999,
FLA,2214,6216,128,691,655,92,7.7%,18.4%,.132,.307,.263,.325,.395,.317,,84,-2.3,-135.2,44.3,10.8,1999,
CHC,2273,6201,189,747,717,60,9.2%,18.9%,.163,.293,.257,.329,.420,.328,,87,-7.8,-113.6,20.0,10.3,1999,
ANA,1797,6132,158,711,673,71,8.3%,16.7%,.139,.286,.256,.322,.395,.316,,80,-6.1,-170.9,52.6,9.8,1999,
MON,2385,6151,163,718,680,70,7.1%,15.3%,.162,.292,.265,.323,.427,.326,,86,-9.0,-125.4,5.4,7.6,1999,
TBD,1833,6272,145,772,728,73,8.7%,16.6%,.137,.312,.274,.343,.411,.333,,92,-7.5,-75.0,-71.2,6.8,1999,
MIN,1957,6124,105,686,643,118,8.2%,16.0%,.120,.301,.264,.328,.384,.315,,79,-3.5,-179.4,-23.7,1.3,1999,
COL,2282,6369,223,906,863,70,8.0%,13.6%,.184,.304,.288,.348,.472,.354,,84,-5.3,-146.1,-45.2,1.3,1999,
SFG,2123,6418,226,925,889,79,11.0%,16.1%,.194,.303,.278,.362,.472,.359,,112,-1.3,103.7,53.7,34.7,2000,
ANA,1839,6373,236,864,837,93,9.5%,16.1%,.193,.303,.280,.352,.472,.356,,106,-4.5,49.9,52.7,31.3,2000,
STL,2196,6369,235,887,841,87,10.6%,19.7%,.185,.308,.270,.356,.455,.353,,105,-5.2,36.0,82.1,31.2,2000,
SEA,1985,6444,198,907,869,122,12.0%,16.7%,.172,.299,.269,.361,.442,.352,,107,-0.5,64.5,12.0,28.8,2000,
CLE,1930,6512,221,950,889,113,10.5%,16.2%,.182,.318,.288,.367,.470,.364,,109,7.8,89.1,-29.4,27.1,2000,
CHW,1791,6410,216,978,926,119,9.2%,15.0%,.184,.309,.286,.356,.470,.357,,106,5.3,58.5,-9.6,25.9,2000,
ATL,2039,6275,179,810,758,148,9.5%,16.1%,.157,.302,.271,.346,.429,.339,,96,4.6,-33.9,83.2,24.5,2000,
CIN,2313,6373,200,825,794,100,8.8%,15.6%,.173,.299,.274,.343,.447,.341,,94,3.3,-46.5,89.9,24.3,2000,
LAD,2057,6312,211,798,756,95,10.6%,17.2%,.174,.283,.257,.341,.431,.337,,99,0.5,-4.5,46.3,23.7,2000,
NYM,2345,6328,198,807,761,66,10.7%,16.4%,.167,.290,.263,.346,.430,.339,,99,-7.2,-16.2,55.3,23.5,2000,
HOU,2303,6444,249,938,900,114,10.4%,17.5%,.199,.305,.278,.361,.477,.361,,105,-0.3,45.4,-10.9,23.0,2000,
OAK,2066,6432,239,947,908,40,11.7%,18.0%,.188,.300,.270,.360,.458,.356,,109,1.9,80.7,-62.9,22.8,2000,
NYY,2061,6311,205,871,833,99,10.0%,16.0%,.173,.304,.277,.354,.450,.350,,105,-1.5,37.1,-39.5,20.6,2000,
TOR,1871,6326,244,861,826,89,8.3%,16.2%,.194,.297,.275,.341,.469,.350,,101,2.9,9.4,-15.1,20.6,2000,
DET,1938,6343,177,823,785,83,8.9%,15.5%,.163,.303,.275,.343,.438,.341,,100,-0.1,-0.3,-15.3,19.7,2000,
KCR,1875,6394,150,879,831,121,8.0%,13.1%,.138,.312,.288,.348,.425,.338,,89,8.9,-82.8,33.1,17.1,2000,
BOS,2051,6371,167,792,755,43,9.6%,16.0%,.156,.297,.267,.341,.423,.334,,92,-4.4,-76.1,21.3,16.4,2000,
CHC,2269,6397,183,764,722,93,9.9%,17.5%,.155,.288,.256,.335,.411,.327,,89,2.4,-95.0,47.8,15.7,2000,
ARI,2103,6241,179,792,756,97,8.6%,15.6%,.164,.290,.265,.333,.429,.332,,88,-0.1,-102.7,59.2,15.6,2000,
COL,2221,6453,161,968,905,131,9.3%,14.1%,.161,.322,.294,.362,.455,.353,,82,-1.0,-155.8,100.6,15.5,2000,
SDP,2169,6291,157,752,714,131,9.6%,18.7%,.148,.294,.254,.330,.402,.321,,91,2.6,-77.5,30.9,15.3,2000,
BAL,1901,6238,184,794,750,126,8.9%,14.4%,.163,.293,.272,.341,.435,.338,,98,-3.9,-19.0,-38.4,15.3,2000,
FLA,2213,6203,160,731,691,168,8.7%,19.1%,.147,.304,.262,.331,.409,.324,,89,9.1,-82.0,30.1,14.5,2000,
PHI,1954,6273,144,708,668,102,9.7%,17.8%,.148,.290,.251,.329,.400,.320,,83,7.3,-137.5,51.5,11.8,2000,
MIL,2207,6355,177,740,708,72,9.8%,19.6%,.158,.284,.246,.325,.403,.319,,82,-5.1,-157.3,67.0,11.7,2000,
PIT,2202,6369,168,793,749,86,8.9%,16.2%,.157,.299,.267,.339,.424,.333,,91,-0.4,-82.5,-14.3,10.6,2000,
TEX,1874,6364,173,848,806,69,9.1%,14.5%,.163,.310,.283,.352,.446,.347,,97,-7.0,-37.4,-76.8,10.2,2000,
MON,2328,6153,178,738,705,58,7.7%,17.0%,.165,.299,.266,.326,.432,.327,,87,-9.8,-116.7,1.2,8.3,2000,
TBD,1887,6206,162,733,692,90,9.0%,16.5%,.142,.287,.257,.329,.399,.321,,83,-2.4,-141.8,-2.5,7.4,2000,
MIN,1972,6283,116,748,711,90,8.8%,16.3%,.137,.309,.270,.337,.407,.327,,86,-1.9,-121.7,-64.5,3.3,2000,
SEA,2043,6474,169,927,881,174,9.5%,15.3%,.157,.320,.288,.360,.445,.347,,116,16.2,143.0,84.6,44.4,2001,
STL,2300,6177,199,814,768,91,8.6%,17.6%,.172,.302,.270,.339,.441,.335,,101,2.7,11.2,103.0,31.1,2001,
SFG,2231,6408,235,799,775,57,9.8%,17.0%,.194,.290,.266,.342,.460,.341,,108,-7.2,60.2,46.3,30.9,2001,
OAK,1830,6385,199,884,835,68,10.0%,16.0%,.175,.288,.264,.345,.439,.338,,108,0.6,64.5,0.4,28.0,2001,
COL,2179,6394,213,923,874,132,8.0%,16.1%,.191,.322,.292,.354,.483,.357,,95,2.6,-41.9,102.6,26.5,2001,
ARI,2180,6349,208,818,776,71,9.2%,16.6%,.175,.294,.267,.341,.442,.336,,97,-2.6,-31.4,88.6,26.0,2001,
CLE,1901,6357,212,897,868,79,9.1%,16.9%,.179,.308,.278,.350,.458,.347,,112,-2.4,90.7,-67.4,23.7,2001,
HOU,2121,6325,208,847,805,64,9.2%,17.7%,.180,.304,.271,.347,.451,.343,,101,-8.8,-1.9,36.1,23.6,2001,
CHW,1906,6151,214,798,770,123,8.5%,16.2%,.183,.290,.268,.334,.451,.337,,104,-1.3,28.4,-7.1,23.0,2001,
PHI,2083,6219,164,746,708,153,8.9%,18.1%,.154,.297,.260,.329,.414,.321,,92,9.9,-52.1,81.8,22.9,2001,
TEX,1897,6388,246,890,844,97,8.6%,17.1%,.195,.300,.275,.344,.471,.349,,108,5.2,70.8,-61.8,22.4,2001,
MIN,1791,6185,164,771,717,146,8.0%,17.5%,.161,.310,.272,.337,.433,.332,,99,-0.2,-5.2,13.0,21.8,2001,
FLA,2034,6184,166,742,713,89,7.6%,18.5%,.159,.303,.264,.326,.423,.323,,95,0.1,-38.4,52.7,21.2,2001,
ATL,2141,6152,174,729,696,85,8.0%,16.9%,.152,.290,.260,.324,.412,.317,,89,-3.3,-88.9,99.8,20.9,2001,
CHC,2271,6219,194,777,748,67,9.3%,17.3%,.169,.290,.261,.336,.430,.329,,98,-2.6,-21.8,29.3,20.6,2001,
LAD,2084,6169,206,758,714,89,8.4%,17.2%,.170,.279,.255,.323,.425,.322,,97,-0.7,-23.8,9.0,18.2,2001,
ANA,1824,6226,158,691,662,116,7.9%,16.1%,.144,.290,.261,.327,.405,.318,,93,0.3,-57.5,22.4,17.8,2001,
SDP,2259,6278,161,789,753,129,10.8%,20.3%,.147,.297,.252,.336,.399,.321,,97,6.4,-16.6,-7.1,17.7,2001,
NYY,1867,6233,203,804,774,161,8.3%,16.6%,.168,.293,.267,.334,.435,.332,,103,9.3,35.7,-73.8,17.3,2001,
TOR,1859,6284,195,767,728,156,7.5%,17.4%,.167,.293,.263,.325,.430,.324,,94,7.0,-38.9,-18.5,15.7,2001,
MIL,2303,6148,209,740,712,66,7.9%,22.8%,.175,.299,.251,.319,.426,.320,,90,-2.7,-85.2,31.8,14.5,2001,
BOS,2035,6264,198,772,739,46,8.3%,18.1%,.173,.300,.266,.334,.439,.332,,100,-6.3,-3.8,-67.4,14.2,2001,
NYM,2263,6156,147,642,608,66,8.9%,17.3%,.137,.283,.249,.323,.387,.309,,87,-7.9,-115.3,37.9,12.2,2001,
KCR,1837,6176,152,729,691,100,6.6%,14.5%,.143,.291,.266,.318,.409,.314,,82,1.5,-135.4,35.8,11.3,2001,
DET,1841,6145,139,724,691,133,7.6%,15.8%,.150,.291,.260,.320,.409,.316,,94,-0.2,-45.2,-52.0,11.3,2001,
CIN,2338,6222,176,735,690,103,7.5%,18.8%,.157,.301,.262,.324,.419,.321,,88,-3.1,-100.1,-7.2,9.3,2001,
BAL,1839,6151,136,687,663,133,8.4%,16.1%,.131,.278,.248,.319,.380,.306,,88,3.3,-91.5,-26.6,9.3,2001,
PIT,2199,6027,161,657,618,93,7.7%,18.4%,.146,.281,.247,.313,.393,.306,,80,-13.3,-167.4,38.4,6.7,2001,
TBD,1750,6104,121,672,645,115,7.5%,18.3%,.130,.303,.258,.320,.388,.309,,86,0.1,-105.1,-41.0,6.4,2001,
MON,2165,6026,131,670,622,101,7.9%,17.8%,.143,.291,.253,.319,.396,.309,,79,-2.2,-172.0,-14.2,1.0,2001,
SFG,2263,6298,198,783,751,74,9.8%,15.3%,.175,.289,.267,.344,.442,.338,,109,2.8,73.4,72.1,35.1,2002,
SEA,2251,6362,152,814,771,137,9.9%,15.8%,.144,.307,.275,.350,.419,.335,,110,12.9,87.6,8.8,31.3,2002,
STL,2366,6246,175,787,758,86,8.7%,14.8%,.157,.292,.268,.338,.425,.331,,101,11.7,18.1,82.2,30.4,2002,
NYY,2135,6377,223,897,857,100,10.0%,18.4%,.180,.310,.275,.354,.455,.352,,116,-1.0,122.9,-55.4,28.5,2002,
ANA,2307,6327,152,851,811,117,7.3%,12.7%,.150,.303,.282,.341,.433,.336,,105,12.5,49.4,16.5,28.2,2002,
MIN,2289,6196,167,768,731,79,7.6%,17.6%,.165,.309,.272,.332,.437,.334,,101,-5.6,1.1,45.0,25.7,2002,
BOS,2172,6332,177,859,810,80,8.6%,14.9%,.168,.302,.277,.345,.444,.343,,107,-0.4,54.5,-28.8,24.2,2002,
PHI,2260,6323,165,710,676,104,10.1%,17.3%,.163,.294,.259,.339,.422,.331,,101,1.1,5.4,27.8,23.9,2002,
LAD,2302,6146,155,713,693,96,7.0%,15.3%,.146,.291,.264,.320,.409,.317,,96,-3.5,-36.0,73.4,23.7,2002,
OAK,2312,6291,205,800,772,46,9.7%,16.0%,.171,.284,.261,.339,.432,.337,,106,10.1,59.2,-42.7,23.1,2002,
CHW,2208,6208,217,856,819,75,8.9%,15.3%,.181,.287,.268,.338,.449,.342,,105,-1.2,40.1,-26.9,22.5,2002,
ARI,2331,6318,165,819,783,92,10.2%,16.1%,.156,.298,.267,.346,.423,.335,,97,1.8,-21.0,36.6,22.1,2002,
TEX,2389,6332,230,843,806,62,8.7%,16.7%,.187,.292,.269,.338,.455,.343,,103,3.0,26.2,-22.9,21.9,2002,
ATL,2319,6224,164,708,669,76,9.0%,16.5%,.150,.290,.260,.331,.409,.322,,94,-7.9,-57.8,60.4,20.5,2002,
FLA,2319,6263,146,699,653,177,9.5%,18.0%,.142,.301,.261,.337,.403,.323,,97,5.4,-14.7,1.7,19.1,2002,
TOR,2236,6230,187,813,771,71,8.4%,18.3%,.169,.295,.261,.327,.430,.329,,97,11.5,-15.5,-7.8,18.9,2002,
HOU,2342,6252,167,749,719,71,9.4%,17.9%,.156,.300,.262,.338,.417,.329,,94,-6.2,-50.9,33.4,18.6,2002,
NYM,2389,6150,160,690,650,87,7.9%,17.0%,.139,.289,.256,.322,.395,.314,,91,-6.1,-73.1,49.4,17.6,2002,
CHC,2294,6242,200,706,676,63,9.4%,20.3%,.167,.283,.246,.321,.413,.320,,93,-7.0,-59.2,27.5,17.1,2002,
CIN,2353,6254,169,709,678,116,9.3%,19.0%,.155,.293,.253,.330,.408,.322,,91,1.2,-73.9,36.4,16.6,2002,
BAL,2217,6096,165,667,636,110,7.4%,16.3%,.157,.271,.246,.309,.403,.311,,90,-1.2,-77.5,5.0,13.5,2002,
MON,2262,6250,162,735,695,118,9.2%,17.7%,.157,.298,.261,.334,.418,.326,,93,-0.3,-58.5,-12.7,13.2,2002,
SDP,2372,6178,136,662,627,71,8.9%,17.2%,.129,.288,.253,.321,.381,.309,,91,-12.4,-81.8,12.0,13.1,2002,
PIT,2343,6049,142,641,610,86,8.9%,18.3%,.137,.281,.244,.319,.381,.308,,84,7.9,-113.0,43.3,12.7,2002,
TBD,2007,6198,133,673,640,102,7.4%,18.0%,.137,.293,.253,.314,.390,.309,,87,6.6,-95.0,-0.9,11.5,2002,
CLE,2236,6099,192,739,706,52,8.9%,16.4%,.163,.271,.249,.321,.412,.320,,95,-12.3,-53.6,-50.4,10.4,2002,
MIL,2329,6083,139,627,597,94,8.2%,18.5%,.137,.294,.253,.320,.390,.312,,86,-26.4,-131.8,33.0,9.9,2002,
COL,2393,6165,152,778,726,103,8.1%,16.9%,.149,.311,.274,.337,.423,.331,,82,-0.4,-138.4,34.1,9.6,2002,
KCR,2248,6206,140,737,695,140,8.4%,14.8%,.143,.282,.256,.323,.398,.316,,85,10.9,-104.1,-35.1,7.2,2002,
DET,2096,5920,124,575,546,65,6.1%,17.5%,.132,.283,.248,.300,.379,.297,,82,-9.4,-143.6,-68.1,-1.0,2002,
ATL,2362,6378,235,907,872,68,8.5%,14.6%,.192,.302,.284,.349,.475,.354,,112,9.5,105.3,46.7,35.6,2003,
STL,2391,6466,196,876,827,82,9.0%,14.7%,.175,.302,.279,.350,.454,.346,,109,9.2,83.9,53.5,34.4,2003,
BOS,2313,6530,238,961,932,88,9.5%,14.4%,.202,.307,.289,.360,.491,.364,,120,3.5,167.2,-61.5,32.6,2003,
SEA,2180,6281,139,795,759,108,9.3%,15.7%,.139,.306,.271,.344,.410,.331,,104,2.4,36.5,62.6,31.1,2003,
SFG,2272,6204,180,755,713,53,9.6%,15.8%,.161,.291,.264,.338,.425,.330,,100,-8.3,-11.7,94.8,28.2,2003,
NYY,2180,6431,230,877,845,98,10.6%,16.2%,.182,.295,.271,.356,.453,.351,,115,-0.3,119.4,-72.0,26.5,2003,
PHI,2227,6333,166,791,757,72,10.3%,18.2%,.158,.301,.261,.343,.419,.332,,100,1.2,1.3,59.1,26.4,2003,
HOU,2390,6320,191,805,763,66,8.8%,16.2%,.169,.289,.263,.336,.431,.333,,97,10.9,-15.9,76.6,26.4,2003,
MIN,2269,6324,155,801,755,94,8.1%,16.2%,.154,.312,.277,.341,.431,.335,,102,1.8,19.8,5.4,24.0,2003,
FLA,2190,6186,157,751,709,150,8.3%,15.8%,.155,.296,.266,.333,.421,.327,,99,2.8,-7.6,41.8,23.4,2003,
CHW,2277,6148,220,791,766,77,8.4%,14.9%,.182,.279,.263,.331,.446,.336,,101,-5.1,3.1,12.9,22.5,2003,
SDP,2384,6246,128,678,641,76,9.0%,17.2%,.127,.301,.261,.333,.388,.318,,95,2.0,-38.3,60.8,22.4,2003,
PIT,2346,6315,163,753,711,86,8.4%,16.6%,.153,.302,.267,.338,.420,.331,,97,5.5,-23.5,29.3,21.0,2003,
TEX,2311,6293,239,826,799,65,7.8%,16.7%,.188,.287,.266,.330,.454,.338,,99,7.8,-1.8,-9.5,20.2,2003,
ANA,2286,6119,150,736,687,129,7.8%,13.7%,.144,.291,.268,.330,.413,.323,,96,-4.9,-32.9,27.1,20.2,2003,
TOR,2278,6364,190,894,853,37,8.6%,17.0%,.175,.313,.279,.349,.455,.347,,108,-5.7,56.6,-88.7,18.4,2003,
TBD,2223,6212,137,715,678,142,6.8%,16.6%,.139,.301,.265,.320,.404,.314,,90,13.2,-65.7,30.0,17.6,2003,
CHC,2285,6187,172,724,691,73,8.0%,18.7%,.157,.297,.259,.323,.416,.321,,91,-9.4,-83.7,50.9,16.8,2003,
COL,2352,6283,198,853,814,63,9.9%,18.0%,.179,.302,.267,.344,.445,.342,,90,1.0,-78.3,39.6,16.5,2003,
BAL,2196,6241,152,743,695,89,6.9%,14.5%,.138,.293,.268,.323,.405,.318,,94,11.0,-35.3,-21.2,15.6,2003,
CLE,2241,6188,158,699,660,86,7.5%,17.2%,.148,.286,.254,.316,.401,.313,,90,-7.5,-83.9,10.1,13.8,2003,
OAK,2197,6189,176,768,742,48,9.0%,14.5%,.162,.273,.254,.327,.417,.322,,95,5.2,-35.5,-49.1,12.7,2003,
KCR,2217,6239,162,836,781,120,7.6%,14.8%,.153,.301,.274,.336,.427,.332,,95,7.3,-30.2,-57.8,12.5,2003,
CIN,2334,6211,182,694,669,80,8.4%,21.3%,.150,.289,.245,.318,.395,.312,,84,10.4,-120.8,21.8,10.3,2003,
LAD,2292,6036,124,574,544,80,6.7%,16.3%,.125,.275,.243,.303,.368,.294,,78,-10.2,-178.7,84.4,10.2,2003,
MON,2275,6116,144,711,682,100,8.5%,16.2%,.143,.290,.258,.326,.401,.316,,85,-4.6,-124.7,21.3,9.6,2003,
MIL,2293,6270,196,714,685,99,8.7%,19.5%,.163,.294,.256,.329,.419,.325,,93,-27.1,-81.9,-26.6,9.6,2003,
ARI,2319,6261,152,717,696,76,8.5%,16.1%,.153,.295,.263,.330,.417,.323,,86,-10.8,-119.9,-6.9,7.7,2003,
NYM,2361,6007,124,642,607,70,8.1%,17.2%,.128,.282,.247,.314,.374,.302,,80,-4.4,-155.5,10.6,5.1,2003,
DET,2278,6071,153,591,553,98,7.3%,18.1%,.135,.272,.240,.300,.375,.296,,80,-6.5,-162.3,-59.2,-1.2,2003,
STL,2381,6297,214,855,817,111,8.7%,17.2%,.182,.307,.278,.344,.460,.344,,107,18.9,72.1,60.7,33.6,2004,
ATL,2349,6339,178,803,767,86,9.3%,18.3%,.164,.309,.270,.343,.434,.336,,100,14.1,13.0,71.5,29.0,2004,
LAD,2357,6244,203,761,731,102,8.6%,17.5%,.161,.291,.262,.332,.423,.327,,97,1.7,-19.9,96.8,28.0,2004,
SFG,2405,6466,183,850,805,43,10.9%,13.5%,.168,.290,.270,.357,.438,.340,,105,-6.0,35.7,28.4,27.5,2004,
CLE,2287,6452,184,858,820,94,9.4%,15.6%,.168,.305,.276,.351,.444,.345,,109,-4.7,72.7,-18.2,26.8,2004,
PHI,2317,6456,215,840,802,100,10.0%,17.5%,.176,.297,.267,.345,.443,.340,,100,5.5,5.8,50.4,26.7,2004,
SDP,2316,6313,139,768,722,52,9.0%,14.4%,.141,.301,.273,.342,.414,.329,,103,8.1,30.5,22.3,25.9,2004,
CHC,2290,6281,235,789,755,66,7.8%,17.2%,.190,.292,.268,.328,.458,.336,,98,-12.0,-26.2,74.9,25.4,2004,
BOS,2417,6515,222,949,912,68,10.1%,18.3%,.190,.319,.282,.360,.472,.358,,114,-17.1,97.9,-66.6,24.7,2004,
HOU,2391,6269,187,803,756,89,9.4%,15.9%,.170,.293,.267,.342,.436,.336,,98,10.0,-7.1,48.7,24.6,2004,
ANA,2217,6296,162,836,783,143,7.1%,15.0%,.147,.312,.282,.341,.429,.334,,103,2.2,23.8,1.4,23.4,2004,
CHW,2245,6197,242,865,823,78,8.1%,16.6%,.189,.288,.268,.333,.457,.340,,101,-1.6,7.3,19.4,23.2,2004,
BAL,2278,6431,169,842,803,101,8.2%,14.8%,.150,.309,.281,.345,.432,.337,,103,6.4,31.9,-25.2,22.0,2004,
NYY,2281,6364,242,897,863,84,10.5%,15.4%,.189,.285,.268,.353,.458,.350,,112,-7.1,94.1,-88.1,21.7,2004,
DET,2255,6285,201,827,800,86,8.2%,18.2%,.177,.308,.272,.337,.449,.339,,106,3.9,49.5,-41.5,21.7,2004,
OAK,2217,6459,189,793,752,47,9.4%,16.4%,.163,.300,.270,.343,.433,.337,,102,-5.8,10.7,-20.0,20.6,2004,
TEX,2240,6256,227,860,825,69,8.0%,17.6%,.191,.291,.266,.329,.457,.336,,95,18.0,-25.9,1.3,18.4,2004,
FLA,2223,6160,148,718,677,96,8.1%,15.7%,.143,.295,.264,.329,.406,.321,,94,0.5,-51.1,30.1,18.2,2004,
SEA,2280,6362,136,698,658,110,7.7%,16.6%,.127,.308,.270,.331,.396,.317,,93,-6.4,-65.3,26.1,17.3,2004,
MIN,2318,6286,191,780,735,116,8.2%,15.6%,.166,.290,.266,.332,.431,.330,,97,5.5,-22.3,-15.6,17.2,2004,
TBD,2182,6098,145,714,685,132,7.7%,15.5%,.147,.286,.258,.320,.405,.315,,87,16.1,-82.6,41.6,16.3,2004,
CIN,2361,6278,194,750,713,77,9.5%,21.3%,.168,.295,.250,.331,.418,.326,,92,-9.3,-77.5,25.6,15.6,2004,
COL,2351,6333,202,833,795,44,9.0%,18.6%,.180,.314,.275,.345,.455,.344,,93,-4.9,-64.7,-3.7,14.1,2004,
TOR,2194,6178,145,719,680,58,8.3%,17.5%,.143,.298,.260,.328,.403,.320,,88,-9.3,-107.0,26.4,12.7,2004,
NYM,2390,6209,185,684,658,107,8.2%,18.7%,.160,.282,.249,.317,.409,.314,,88,-2.0,-101.6,8.5,11.3,2004,
MIL,2255,6195,135,634,601,138,8.7%,21.2%,.139,.300,.248,.321,.387,.309,,82,1.8,-144.7,36.7,9.8,2004,
PIT,2330,6115,142,680,648,63,6.8%,17.4%,.141,.298,.260,.321,.401,.314,,85,-8.6,-128.7,2.5,7.8,2004,
MON,2289,6138,151,635,605,109,8.1%,15.1%,.143,.273,.249,.313,.392,.306,,77,-0.7,-184.6,36.0,5.7,2004,
KCR,2169,6153,150,720,675,67,7.5%,17.2%,.139,.293,.259,.322,.397,.314,,82,-9.3,-152.8,-47.4,1.0,2004,
ARI,2295,6114,135,615,582,53,7.2%,16.7%,.140,.286,.253,.310,.393,.305,,74,-7.7,-212.2,2.3,-0.4,2004,
CLE,2166,6255,207,790,760,62,8.0%,17.5%,.181,.302,.271,.334,.453,.340,,110,3.6,76.4,20.2,30.9,2005,
ATL,2347,6186,184,769,733,92,8.6%,17.5%,.170,.298,.265,.333,.435,.331,,100,-1.7,-3.1,96.7,29.6,2005,
PHI,2273,6345,167,807,760,116,10.1%,17.1%,.154,.306,.270,.348,.423,.335,,98,9.2,-2.9,88.2,29.3,2005,
BOS,2344,6403,199,910,863,45,10.2%,16.3%,.174,.310,.281,.357,.454,.352,,112,-2.9,92.8,-33.9,27.6,2005,
STL,2324,6246,170,805,757,83,8.5%,15.2%,.153,.297,.270,.339,.423,.331,,100,9.0,12.4,54.6,27.1,2005,
CIN,2309,6321,222,820,784,72,9.7%,20.6%,.185,.302,.261,.339,.446,.340,,103,12.9,35.5,-10.3,23.2,2005,
OAK,2164,6275,155,772,739,31,8.6%,13.1%,.145,.281,.262,.330,.407,.323,,99,12.0,3.9,13.7,23.0,2005,
CHC,2276,6161,194,703,674,65,6.8%,14.9%,.170,.291,.270,.324,.440,.329,,95,-5.6,-47.3,59.4,21.3,2005,
DET,2211,6136,168,723,678,66,6.3%,16.9%,.157,.304,.272,.321,.428,.324,,99,5.5,-5.1,5.9,20.9,2005,
